image_path,label,width,height,image_hash,duplicate
./dataset/violence against women meme offensive/Image_15.jpg,1,575,500,421ba6dc0f109c51b090ca04509bce33,1
./dataset/violence against women meme offensive/Image_14.jpg,1,600,600,aa4d925a75427431921a06ea8729acf5,1
./dataset/violence against women meme offensive/Image_1.gif,1,1200,1095,0d8a65051e1764e421af5fc897dd7ed8,0
./dataset/violence against women meme offensive/Image_16.jpg,1,736,913,275ab8de6b3f9f53fb9fb9f3f18f2b4e,1
./dataset/violence against women meme offensive/Image_17.jpg,1,600,692,8b32de0a2b61316aa3b5cda81dcd9fa8,1
./dataset/violence against women meme offensive/Image_13.png,1,752,895,a2949305149ad60b5e2487fc62843933,1
./dataset/violence against women meme offensive/Image_10.jpg,1,760,507,ba94cdaa39537ed8685e485d68434514,1
./dataset/violence against women meme offensive/Image_11.jpg,1,1604,1661,4f94418894de7e530d861fddf5198e25,0
./dataset/violence against women meme offensive/Image_8.png,1,432,650,af22c8e8c6184c13c2c32a7e1d7dda94,0
./dataset/violence against women meme offensive/Image_9.jpg,1,500,500,667eab09f59e27fe1e106e136ff089b4,1
./dataset/violence against women meme offensive/Image_3.jpg,1,600,450,94abd4f610c26f0227fe0dd3caec33f1,1
./dataset/violence against women meme offensive/Image_2.jpeg,1,750,729,cb0a4c8e3c6d2dd464217d22fbdc8f10,1
./dataset/violence against women meme offensive/Image_4.jpg,1,640,403,c9b8432ecb2e0ade2e08b5aaacc0f554,1
./dataset/violence against women meme offensive/Image_20.jpeg,1,433,388,b84b8fd5e7385227ae8138c8f9fad86f,1
./dataset/violence against women meme offensive/Image_5.jpg,1,350,461,bb3f99331913845f5f26f24c59f34e15,1
./dataset/violence against women meme offensive/Image_12.gif,1,480,498,40a999c52bc6fafb04f950f022baaa2a,0
./dataset/violence against women meme offensive/Image_7.jpg,1,610,602,b620e32e10d402f7cdc8c2eca68b325e,1
./dataset/violence against women meme offensive/Image_6.jpg,1,732,1580,6265ee755760684c3c94cf0342d443e3,1
./dataset/violence against women meme offensive/Image_19.jpg,1,350,411,9186ba09e3fe27121daa78a7f1b022bd,0
./dataset/violence against women meme offensive/Image_18.jpg,1,610,469,ce421fd63ee381e7a7f8fb850c6ee8d5,0
./dataset/terrorist organizations meme offensive/Image_14.png,1,348,348,d51de8c47b26728c519ba18c9333f590,1
./dataset/terrorist organizations meme offensive/Image_17.jpg,1,460,724,4e4e46ba081e46b55c1a9b96323793bf,1
./dataset/terrorist organizations meme offensive/Image_13.jpg,1,625,969,d3550276ac5b84e3d05bbe0ab3568e4a,1
./dataset/terrorist organizations meme offensive/Image_12.png,1,863,465,e5265f6fc3143b1748c4176c74cbe001,0
./dataset/terrorist organizations meme offensive/Image_10.jpg,1,375,281,734220ff115bfab74f8078d3864387a5,0
